                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25579,                 0.9021,                0.99301,                0.54902,             0.00023721,             0.00023721,             0.00023721
                      2,                 0.0792,                 0.9021,                0.98601,                0.52734,             0.00046476,             0.00046476,             0.00046476
                      3,                0.03866,                0.90909,                0.98601,                0.51699,             0.00068183,             0.00068183,             0.00068183
                      4,                0.02842,                0.90909,                0.98601,                 0.5145,             0.00066688,             0.00066688,             0.00066688
                      5,                 0.0183,                0.93706,                0.99301,                0.49868,             0.00066688,             0.00066688,             0.00066688
                      6,                0.01227,                0.94406,                0.99301,                0.49556,             0.00065117,             0.00065117,             0.00065117
                      7,                0.00652,                0.93007,                0.99301,                0.49714,             0.00063546,             0.00063546,             0.00063546
                      8,                0.00481,                0.93706,                0.99301,                0.49932,             0.00061975,             0.00061975,             0.00061975
                      9,                0.00504,                0.93007,                0.99301,                 0.4991,             0.00060404,             0.00060404,             0.00060404
                     10,                0.00276,                0.93706,                      1,                0.49312,             0.00058834,             0.00058834,             0.00058834
                     11,                0.00058,                0.95105,                      1,                0.48984,             0.00057263,             0.00057263,             0.00057263
                     12,                0.00074,                0.94406,                      1,                0.49238,             0.00055692,             0.00055692,             0.00055692
                     13,                0.00026,                0.95105,                      1,                0.49126,             0.00054121,             0.00054121,             0.00054121
                     14,                0.00034,                0.95105,                      1,                0.49094,              0.0005255,              0.0005255,              0.0005255
                     15,                0.00024,                0.95804,                      1,                0.48857,              0.0005098,              0.0005098,              0.0005098
                     16,                0.00014,                0.95804,                      1,                0.48799,             0.00049409,             0.00049409,             0.00049409
                     17,                0.00012,                0.95804,                      1,                0.48838,             0.00047838,             0.00047838,             0.00047838
                     18,                0.00012,                0.95105,                      1,                0.48779,             0.00046267,             0.00046267,             0.00046267
                     19,                0.00012,                0.95105,                      1,                0.48936,             0.00044696,             0.00044696,             0.00044696
                     20,                0.00014,                0.95804,                      1,                0.48899,             0.00043126,             0.00043126,             0.00043126
                     21,                0.00013,                0.95105,                      1,                0.48828,             0.00041555,             0.00041555,             0.00041555
                     22,                  8e-05,                0.95105,                      1,                 0.4896,             0.00039984,             0.00039984,             0.00039984
                     23,                0.00012,                0.95105,                      1,                0.48916,             0.00038413,             0.00038413,             0.00038413
                     24,                  8e-05,                0.95105,                      1,                0.48848,             0.00036842,             0.00036842,             0.00036842
                     25,                  7e-05,                0.94406,                      1,                0.49106,             0.00035272,             0.00035272,             0.00035272
                     26,                  8e-05,                0.95804,                      1,                0.48794,             0.00033701,             0.00033701,             0.00033701
                     27,                 0.0001,                0.95804,                      1,                0.48892,              0.0003213,              0.0003213,              0.0003213
                     28,                0.00146,                0.93706,                      1,                0.49219,             0.00030559,             0.00030559,             0.00030559
                     29,                0.00461,                0.93007,                      1,                0.49294,             0.00028988,             0.00028988,             0.00028988
                     30,                0.00298,                0.93706,                0.99301,                0.49214,             0.00027418,             0.00027418,             0.00027418
                     31,                0.00292,                0.94406,                0.99301,                0.48989,             0.00025847,             0.00025847,             0.00025847
                     32,                0.00099,                0.95105,                0.99301,                0.48635,             0.00024276,             0.00024276,             0.00024276
                     33,                 0.0005,                0.95804,                0.99301,                0.48623,             0.00022705,             0.00022705,             0.00022705
                     34,                 0.0002,                0.95804,                0.99301,                0.48772,             0.00021134,             0.00021134,             0.00021134
                     35,                0.00016,                0.96503,                0.99301,                0.48594,             0.00019564,             0.00019564,             0.00019564
                     36,                0.00033,                0.95804,                0.99301,                0.48848,             0.00017993,             0.00017993,             0.00017993
                     37,                0.00011,                0.95105,                0.99301,                0.48813,             0.00016422,             0.00016422,             0.00016422
                     38,                0.00015,                0.93706,                0.99301,                0.49189,             0.00014851,             0.00014851,             0.00014851
                     39,                0.00027,                0.95105,                0.99301,                0.48965,              0.0001328,              0.0001328,              0.0001328
                     40,                0.00011,                0.95105,                0.99301,                0.48994,              0.0001171,              0.0001171,              0.0001171
                     41,                0.00011,                0.94406,                0.99301,                0.48945,             0.00010139,             0.00010139,             0.00010139
                     42,                  8e-05,                0.94406,                0.99301,                0.49001,              8.568e-05,              8.568e-05,              8.568e-05
                     43,                  6e-05,                0.94406,                0.99301,                0.48965,             6.9972e-05,             6.9972e-05,             6.9972e-05
                     44,                0.00011,                0.94406,                0.99301,                0.49014,             5.4264e-05,             5.4264e-05,             5.4264e-05
                     45,                 0.0001,                0.94406,                0.99301,                0.48953,             3.8556e-05,             3.8556e-05,             3.8556e-05
