                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87617,                 2.1616,                 1.7332,                 1.1966,                0.84519,                0.69832,                0.80616,                0.57224,                0.79694,                 0.7093,                0.79687,                0.55768,                 0.8714,                 1.5195,                 2.0216,                 1.3811,             0.00065185,             0.00065185,             0.00065185
                      2,                 0.9161,                 1.7454,                 1.2554,                 1.2275,                0.66658,                0.67442,                0.76422,                0.39782,                0.67786,                 0.7093,                0.77366,                0.48577,                 1.4264,                 2.6393,                 2.0218,                 2.2784,               0.001275,               0.001275,               0.001275
                      3,                0.99216,                 1.8951,                 1.2518,                 1.2732,                0.31642,                    0.5,                 0.3553,                0.17414,                0.31634,                0.52326,                 0.3799,                0.17092,                 1.5128,                 1.5874,                 3.5386,                 2.0205,              0.0018542,              0.0018542,              0.0018542
                      4,                 1.0017,                  1.867,                 1.1419,                 1.2633,                0.45085,                0.53488,                0.46369,                0.24776,                0.53607,                0.53488,                0.54444,                0.29511,                 1.6936,                 5.0412,                 2.7206,                 2.3727,               0.001802,               0.001802,               0.001802
                      5,                0.94853,                 1.7339,                   1.03,                 1.2256,                0.54871,                0.76744,                0.64259,                0.40462,                 0.5553,                 0.7907,                0.64396,                0.43483,                 1.1572,                 1.9737,                 1.5443,                 1.5971,               0.001802,               0.001802,               0.001802
                      6,                0.94367,                 1.7605,                 1.0143,                 1.2228,                0.68053,                0.79265,                0.79646,                0.55522,                0.67368,                 0.7922,                0.77697,                0.49997,                0.95113,                 1.8566,                 1.4728,                 1.4347,               0.001736,               0.001736,               0.001736
                      7,                0.92564,                 1.7735,                0.96227,                 1.2222,                0.84682,                0.89998,                0.92727,                0.76674,                0.89451,                0.88746,                0.94611,                0.76945,                0.68583,                 1.3241,                0.79473,                 1.1819,                0.00167,                0.00167,                0.00167
                      8,                0.85379,                 1.6182,                0.86262,                 1.1673,                0.87145,                0.86047,                0.93111,                0.75231,                0.87145,                0.86047,                 0.9248,                0.73929,                0.67954,                 1.2553,                 0.8853,                 1.1101,               0.001604,               0.001604,               0.001604
                      9,                0.81243,                 1.5358,                0.81004,                 1.1522,                0.87994,                0.93023,                0.96122,                0.77528,                0.87994,                0.93023,                0.96122,                0.83007,                0.68854,                0.87155,                 0.7022,                 1.1547,               0.001538,               0.001538,               0.001538
                     10,                0.80622,                 1.5668,                0.82136,                 1.1391,                0.85117,                0.94186,                0.92301,                0.77525,                0.86168,                0.95349,                0.93447,                0.83213,                0.70445,                 0.7653,                0.69893,                 1.1254,               0.001472,               0.001472,               0.001472
                     11,                0.78348,                 1.4528,                0.74228,                 1.1199,                0.94225,                0.94869,                0.97662,                 0.8386,                0.94225,                0.94869,                0.97662,                0.87148,                0.64109,                0.69883,                0.63697,                 1.1285,               0.001406,               0.001406,               0.001406
                     12,                0.75123,                 1.4756,                0.71308,                 1.1096,                0.95325,                0.94845,                0.98344,                0.83412,                0.95325,                0.94845,                0.97847,                0.83557,                0.61399,                0.99293,                 0.5667,                 1.1142,                0.00134,                0.00134,                0.00134
                     13,                0.73527,                 1.4067,                0.72465,                 1.0945,                0.94052,                0.98837,                0.98909,                0.81831,                0.92903,                0.97674,                0.97747,                0.81202,                0.65133,                 1.3324,                0.56714,                  1.093,               0.001274,               0.001274,               0.001274
                     14,                0.72442,                 1.4492,                0.67356,                 1.0911,                0.90178,                0.96512,                0.97975,                0.84447,                0.91289,                0.97674,                 0.9847,                0.88613,                0.58307,                0.72799,                0.54657,                 1.0262,               0.001208,               0.001208,               0.001208
                     15,                0.70506,                 1.3643,                0.64887,                 1.0902,                0.95402,                0.96515,                0.98854,                0.89359,                0.95402,                0.96515,                0.98854,                0.90484,                0.51104,                0.59917,                0.50878,                0.99206,               0.001142,               0.001142,               0.001142
                     16,                0.68414,                 1.3594,                0.64539,                 1.0744,                0.95562,                0.96512,                0.97948,                0.84424,                0.95562,                0.96512,                0.97113,                0.86413,                0.54715,                0.93335,                0.54086,                 1.0156,               0.001076,               0.001076,               0.001076
                     17,                0.66874,                 1.2477,                0.61076,                 1.0591,                0.94998,                0.95349,                0.98551,                0.86701,                0.93839,                0.94186,                0.97416,                0.91277,                0.53026,                0.72937,                0.57921,                0.98987,                0.00101,                0.00101,                0.00101
                     18,                0.63594,                 1.2135,                0.56658,                 1.0407,                0.94159,                0.93724,                0.98168,                0.85162,                0.94159,                0.93724,                0.97642,                0.87879,                0.55419,                0.76253,                0.44913,                 1.0217,               0.000944,               0.000944,               0.000944
                     19,                0.66537,                 1.2512,                0.57645,                  1.058,                0.95589,                0.96512,                0.98312,                  0.861,                0.95589,                0.96512,                0.98312,                 0.8993,                0.52632,                0.63273,                0.46557,                 1.0393,               0.000878,               0.000878,               0.000878
                     20,                0.61498,                 1.1919,                0.54908,                 1.0324,                0.99142,                0.97674,                0.99477,                0.87035,                0.99142,                0.97674,                0.99477,                0.89262,                0.54249,                0.55957,                  0.448,                 1.0051,               0.000812,               0.000812,               0.000812
                     21,                0.65896,                 1.2807,                0.69155,                 1.1332,                0.99675,                      1,                  0.995,                0.89276,                0.99675,                      1,                  0.995,                 0.9094,                0.50948,                0.55293,                 0.4439,                0.99198,               0.000746,               0.000746,               0.000746
                     22,                0.60437,                 1.1978,                0.56592,                 1.0946,                0.98398,                0.98837,                0.99385,                0.88115,                0.98398,                0.98837,                0.99385,                0.91571,                0.50893,                0.57934,                0.40672,                 0.9889,                0.00068,                0.00068,                0.00068
                     23,                 0.5896,                 1.1435,                0.54874,                 1.0808,                      1,                0.98769,                0.99018,                0.90858,                      1,                0.98769,                0.99456,                0.93758,                 0.4435,                0.52909,                0.36121,                0.92592,               0.000614,               0.000614,               0.000614
                     24,                0.53917,                 1.0488,                 0.4966,                 1.0309,                0.98831,                0.98311,                0.98467,                0.91574,                0.98831,                0.98311,                0.98467,                0.94223,                0.39562,                0.49288,                0.35564,                0.86697,               0.000548,               0.000548,               0.000548
                     25,                0.52186,                0.99365,                0.46758,                 1.0274,                0.99846,                0.97674,                0.99421,                0.92878,                0.99846,                0.97674,                0.99421,                0.94548,                0.37165,                0.47315,                0.30323,                0.87001,               0.000482,               0.000482,               0.000482
                     26,                0.51922,                0.99446,                0.46309,                 1.0408,                 0.9883,                0.98837,                0.99456,                0.92618,                 0.9883,                0.98837,                0.99456,                0.94987,                0.36759,                0.45894,                0.32885,                0.86649,               0.000416,               0.000416,               0.000416
                     27,                 0.5031,                0.96699,                0.43484,                 1.0088,                0.98751,                      1,                0.99362,                 0.9231,                0.98751,                      1,                0.99362,                0.94681,                0.38942,                0.41595,                0.30278,                0.88292,                0.00035,                0.00035,                0.00035
                     28,                0.48305,                0.94353,                0.41264,                0.99566,                0.96605,                0.99252,                0.99349,                0.92432,                0.96605,                0.99252,                0.99349,                0.94786,                0.41156,                0.46336,                0.32365,                0.88283,               0.000284,               0.000284,               0.000284
                     29,                0.46479,                0.87434,                0.40065,                0.98266,                      1,                0.98452,                 0.9936,                0.94299,                      1,                0.98452,                 0.9936,                0.95312,                0.35727,                0.45375,                0.28029,                0.86403,               0.000218,               0.000218,               0.000218
                     30,                0.45712,                0.87796,                 0.3954,                0.98123,                0.99648,                0.98837,                0.99415,                0.93749,                0.99648,                0.98837,                0.99415,                0.95753,                0.34372,                0.44342,                0.28048,                0.85536,               0.000152,               0.000152,               0.000152
